Designator,Mid X,Mid Y,Rotation,Layer
BUS1,156.88,-125.887,0.0,top
C1,147.13,-105.34,0.0,bottom
C10,173.594,-76.9176,0.0,bottom
C11,154.3916,-89.3128,90.0,bottom
C13,156.55,-76.98,90.0,top
C14,125.1204,-116.1796,0.0,bottom
C2,132.922,-116.1796,0.0,bottom
C5,156.72,-94.61,90.0,top
C6,173.594,-102.2,180.0,bottom
C7,186.8528,-88.6524,90.0,bottom
C8,190.1952,-112.8776,180.0,top
C9,196.596,-112.8776,0.0,top
IC1,157.734,-112.4712,0.0,top
IC5,170.9,-89.47,180.0,bottom
IC6,171.91,-77.2,180.0,top
Q1,195.8456,-107.2896,180.0,top
R1,193.357,-116.9416,0.0,top
R2,156.59,-81.78,90.0,top
R3,186.17,-97.7,270.0,top
U1,171.91,-96.66,180.0,top
U2,131.3088,-86.5097,90.0,bottom
